"Relative Time","Hits"
"00:00","0"
"00:04","0"
"00:08","0"
"00:12","0"
"00:16","0"
"00:20","0.75"
"00:24","0.5"
"00:28","1"
"00:32","1.75"
"00:36","1.25"
"00:40","2"
"00:44","2.5"
"00:48","1.75"
"00:52","2.25"
"00:56","3.5"
"01:00","3.5"
"01:04","3.25"
"01:08","3.75"
"01:12","3.25"
"01:16","3.75"
"01:20","3.5"
"01:24","3"
"01:28","3.5"
"01:32","3.25"
"01:36","4"
"01:40","3.25"
"01:44","3.75"
"01:48","3.75"
"01:52","2.25"
"01:56","3.25"
"02:00","2.5"
"02:04","1.75"
"02:08","2.5"
"02:12","2"
"02:16","0.5"
"02:20","1"
"02:24","1.25"
"02:28","0.333"
