"Relative Time","Action_Transaction","get todos","login","logout","open dashboard","open login","open registration","register account","vuser_end_Transaction","vuser_init_Transaction"
"00:12","","","","","","0.008","","","","0"
"00:16","","","","","","","0.003","","",""
"00:20","","","","","","0.005","","0.016","",""
"00:24","","","","","","0.005","0.003","","",""
"00:28","","0.005","0.004","","0.003","0.006","0.003","0.017","",""
"00:32","0.047","","","0.002","","0.003","0.002","0.011","",""
"00:36","","0.007","0.009","","0.004","0.005","0.002","0.016","",""
"00:40","0.053","0.005","0.005","0.003","0.004","0.003","0.003","0.011","",""
"00:44","0.042","0.004","0.004","0.002","0.003","0.003","0.003","0.017","",""
"00:48","0.043","0.004","0.005","0.002","0.003","0.003","0.003","0.012","",""
"00:52","0.039","0.006","0.004","0.003","0.003","0.002","0.003","0.012","",""
"00:56","0.045","0.004","0.007","0.002","0.003","0.004","0.002","0.012","",""
"01:00","0.041","0.006","0.005","0.003","0.004","0.004","0.003","0.015","",""
"01:04","0.043","0.006","0.007","0.004","0.005","0.002","0.003","0.017","",""
"01:08","0.045","0.006","0.018","0.003","0.003","0.003","0.004","0.017","",""
"01:12","0.053","0.006","0.006","0.002","0.003","0.003","0.003","0.017","",""
"01:16","0.051","0.006","0.004","0.003","0.003","0.002","0.003","0.018","",""
"01:20","0.046","0.004","0.005","0.002","0.003","0.002","0.002","0.014","",""
"01:24","0.043","0.004","0.004","0.002","0.003","0.002","0.003","0.012","",""
"01:28","0.045","0.004","0.004","0.003","0.002","0.003","0.002","0.015","",""
"01:32","0.038","0.004","0.004","0.002","0.002","0.002","0.003","0.013","",""
"01:36","0.036","0.004","0.005","0.002","0.003","0.002","0.002","0.014","",""
"01:40","0.041","0.007","0.004","0.003","0.003","0.002","","0.013","",""
"01:44","0.039","0.004","0.004","0.002","0.003","0.002","0.003","","0",""
"01:48","0.037","0.004","0.003","0.002","0.002","0.001","0.003","0.013","0",""
"01:52","0.034","","","0.002","","0.002","0.002","0.016","0",""
"01:56","","0.003","0.005","","0.002","0.002","0.002","0.01","",""
"02:00","0.035","0.004","0.005","0.002","0.003","0.001","0.003","0.015","0",""
"02:04","0.038","0.004","0.005","0.002","0.003","0.002","","0.012","0",""
"02:08","0.032","0.004","0.004","0.003","0.003","0.003","0.002","","0",""
"02:12","0.035","0.004","0.004","0.002","0.002","0","0.004","0.014","0",""
"02:16","0.035","","","0.002","","0.001","","0.014","0",""
"02:20","","0.004","0.004","","0.002","0.002","","","",""
"02:24","0.037","0.003","0.005","0.003","0.002","0","","","0",""
"02:28","0.041","","","0.002","","0","","","0",""
